startYear,runtimeMinutes,numVotes
1911.0,68.0,1898
1911.0,53.0,164
1912.0,60.0,428
1912.0,100.0,387
1912.0,45.0,265
1913.0,54.0,1822
1913.0,85.0,1583
1913.0,61.0,1270
1913.0,90.0,981
1913.0,96.0,872
1913.0,88.0,518
1913.0,48.0,513
1913.0,88.0,452
1914.0,82.0,3116
1914.0,148.0,2787
1914.0,61.0,1177
1914.0,59.0,1095
1914.0,78.0,1027
1914.0,199.0,915
1914.0,52.0,901
1914.0,70.0,873
1914.0,74.0,792
1914.0,84.0,444
1914.0,59.0,392
1914.0,65.0,367
1914.0,81.0,344
1915.0,195.0,20483
1915.0,421.0,3867
1915.0,59.0,2170
1915.0,72.0,1031
1915.0,60.0,987
1915.0,59.0,842
1915.0,67.0,718
1915.0,54.0,420
1915.0,72.0,354
1915.0,52.0,345
1915.0,50.0,301
1915.0,78.0,264
1915.0,78.0,253
1915.0,77.0,204
1915.0,50.0,193
1915.0,74.0,165
1915.0,67.0,153
1916.0,163.0,12860
1916.0,105.0,1416
1916.0,65.0,821
1916.0,300.0,800
1916.0,64.0,775
1916.0,46.0,732
1916.0,60.0,600
1916.0,63.0,555
1916.0,50.0,552
1916.0,50.0,545
1916.0,62.0,530
1916.0,52.0,498
1916.0,58.0,466
1916.0,138.0,465
1916.0,66.0,349
1916.0,63.0,327
1916.0,116.0,277
1916.0,77.0,263
1916.0,100.0,234
1916.0,60.0,182
1916.0,60.0,161
1916.0,45.0,153
1916.0,57.0,127
1916.0,50.0,124
1916.0,58.0,122
1916.0,73.0,121
1917.0,48.0,1346
1917.0,65.0,1207
1917.0,49.0,801
1917.0,78.0,737
1917.0,70.0,705
1917.0,62.0,614
1917.0,80.0,575
1917.0,72.0,526
1917.0,55.0,511
1917.0,48.0,487
1917.0,48.0,470
1917.0,53.0,420
1917.0,57.0,327
1917.0,125.0,288
1917.0,68.0,244
1917.0,61.0,219
1917.0,90.0,169
1917.0,87.0,131
1917.0,87.0,131
1917.0,59.0,129
1917.0,65.0,118
1917.0,70.0,112
1917.0,72.0,109
1917.0,70.0,98
1917.0,80.0,94
1917.0,80.0,82
1918.0,45.0,5221
1918.0,136.0,1384
1918.0,84.0,1314
1918.0,45.0,1124
1918.0,93.0,1030
1918.0,117.0,861
1918.0,75.0,731
1918.0,67.0,727
1918.0,60.0,679
1918.0,73.0,612
1918.0,71.0,602
1918.0,72.0,585
1918.0,97.0,529
1918.0,63.0,520
1918.0,60.0,470
1918.0,112.0,411
1918.0,418.0,274
1918.0,62.0,269
1918.0,70.0,240
1918.0,86.0,238
1918.0,60.0,158
1918.0,94.0,112
1918.0,73.0,105
1918.0,80.0,98
1918.0,45.0,90
1918.0,50.0,77
1918.0,60.0,75
1918.0,95.0,66
1919.0,90.0,8580
1919.0,116.0,1650
1919.0,58.0,1511
1919.0,48.0,1500
1919.0,87.0,1487
1919.0,85.0,1273
1919.0,166.0,1268
1919.0,99.0,1252
1919.0,71.0,1091
1919.0,122.0,1081
1919.0,50.0,1016
1919.0,81.0,947
1919.0,80.0,925
1919.0,78.0,896
1919.0,73.0,804
1919.0,63.0,792
1919.0,85.0,728
1919.0,75.0,712
1919.0,58.0,711
1919.0,85.0,690
1919.0,70.0,686
1919.0,80.0,644
1919.0,78.0,628
1919.0,63.0,617
1919.0,58.0,582
1919.0,87.0,497
1919.0,80.0,490
1919.0,53.0,409
1919.0,77.0,408
1919.0,112.0,392
1920.0,76.0,49966
1920.0,91.0,5762
1920.0,145.0,4653
1920.0,82.0,4330
1920.0,107.0,1984
1920.0,79.0,1964
1920.0,90.0,1844
1920.0,77.0,1305
1920.0,90.0,1282
1920.0,73.0,1019
1920.0,167.0,1014
1920.0,71.0,951
1920.0,88.0,763
1920.0,104.0,690
1920.0,106.0,649
1920.0,115.0,565
1920.0,78.0,552
1920.0,100.0,518
1920.0,75.0,431
1920.0,65.0,366
1920.0,80.0,323
1920.0,67.0,315
1920.0,58.0,310
1920.0,50.0,300
1920.0,54.0,292
1920.0,88.0,262
1920.0,54.0,250
1920.0,87.0,247
1920.0,64.0,241
1920.0,71.0,237
1920.0,57.0,215
1921.0,68.0,98330
1921.0,100.0,8947
1921.0,97.0,4581
1921.0,150.0,4404
1921.0,86.0,2918
1921.0,150.0,2903
1921.0,99.0,1670
1921.0,75.0,1236
1921.0,117.0,1181
1921.0,75.0,986
1921.0,62.0,957
1921.0,79.0,953
1921.0,47.0,889
1921.0,72.0,830
1921.0,119.0,748
1921.0,91.0,423
1921.0,89.0,379
1921.0,131.0,349
1921.0,100.0,332
1921.0,55.0,329
1921.0,89.0,325
1921.0,136.0,290
1921.0,52.0,288
1921.0,71.0,277
1921.0,100.0,269
1921.0,81.0,261
1921.0,112.0,251
1921.0,90.0,239
1921.0,55.0,226
1921.0,120.0,222
1921.0,50.0,195
1922.0,94.0,80965
1922.0,242.0,6645
1922.0,117.0,2708
1922.0,80.0,2180
1922.0,143.0,1862
1922.0,60.0,1518
1922.0,125.0,1398
1922.0,80.0,1166
1922.0,59.0,1117
1922.0,120.0,938
1922.0,72.0,738
1922.0,112.0,688
1922.0,98.0,661
1922.0,54.0,596
1922.0,98.0,523
1922.0,85.0,516
1922.0,58.0,460
1922.0,100.0,416
1922.0,125.0,408
1922.0,137.0,391
1922.0,100.0,388
1922.0,54.0,347
1922.0,70.0,337
1922.0,105.0,317
1922.0,90.0,317
1922.0,83.0,313
1922.0,75.0,312
1922.0,100.0,298
1922.0,68.0,291
1922.0,70.0,246
1922.0,70.0,225
1922.0,79.0,221
1922.0,68.0,198
1923.0,70.0,16437
1923.0,65.0,9195
1923.0,82.0,4338
1923.0,133.0,4309
1923.0,47.0,3784
1923.0,63.0,3662
1923.0,54.0,1794
1923.0,136.0,1735
1923.0,273.0,1601
1923.0,63.0,1445
1923.0,68.0,1028
1923.0,87.0,978
1923.0,110.0,850
1923.0,90.0,773
1923.0,90.0,752
1923.0,84.0,735
1923.0,124.0,461
1923.0,98.0,458
1923.0,143.0,367
1923.0,96.0,346
1923.0,74.0,308
1923.0,70.0,304
1923.0,113.0,264
1923.0,110.0,264
1923.0,135.0,231
1923.0,80.0,224
1923.0,90.0,224
1923.0,120.0,202
1923.0,87.0,190
1923.0,100.0,136
1923.0,101.0,132
1923.0,80.0,108
1923.0,128.0,100
1923.0,84.0,99
1923.0,86.0,97
1924.0,45.0,33369
1924.0,77.0,11117
1924.0,140.0,8275
1924.0,59.0,8164
1924.0,155.0,4986
1924.0,143.0,4674
1924.0,129.0,3546
1924.0,87.0,2870
1924.0,95.0,2704
1924.0,111.0,2139
1924.0,92.0,1922
1924.0,150.0,1742
1924.0,65.0,1471
1924.0,93.0,1413
1924.0,60.0,1147
1924.0,183.0,987
1924.0,85.0,980
1924.0,75.0,909
1924.0,94.0,800
1924.0,105.0,747
1924.0,80.0,678
1924.0,153.0,647
1924.0,135.0,602
1924.0,70.0,589
1924.0,106.0,435
1924.0,123.0,417
1924.0,88.0,408
1924.0,81.0,388
1924.0,135.0,372
1924.0,141.0,320
1924.0,72.0,294
1924.0,115.0,259
1924.0,56.0,251
1924.0,70.0,239
1924.0,108.0,204
1924.0,64.0,191
1924.0,82.0,188
1925.0,95.0,89856
1925.0,75.0,48316
1925.0,93.0,15057
1925.0,56.0,8143
1925.0,143.0,6829
1925.0,82.0,6289
1925.0,151.0,5766
1925.0,76.0,4568
1925.0,106.0,4209
1925.0,68.0,3411
1925.0,137.0,2029
1925.0,75.0,1905
1925.0,74.0,1733
1925.0,73.0,1554
1925.0,86.0,1518
1925.0,111.0,1504
1925.0,81.0,1344
1925.0,125.0,1273
1925.0,120.0,899
1925.0,86.0,855
1925.0,72.0,834
1925.0,94.0,810
1925.0,70.0,791
1925.0,114.0,654
1925.0,70.0,650
1925.0,102.0,596
1925.0,80.0,590
1925.0,70.0,510
1925.0,78.0,504
1925.0,71.0,503
1925.0,71.0,475
1925.0,104.0,456
1925.0,80.0,442
1925.0,70.0,429
1925.0,111.0,374
1925.0,95.0,373
1925.0,68.0,292
1925.0,70.0,287
1925.0,110.0,274
1925.0,74.0,261
1925.0,73.0,252
1925.0,77.0,227
1925.0,74.0,225
1925.0,68.0,218
1925.0,110.0,215
1925.0,70.0,195
1925.0,108.0,176
1925.0,71.0,172
1925.0,56.0,149
1925.0,70.0,138
1925.0,80.0,134
1925.0,74.0,127
1926.0,67.0,72018
1926.0,107.0,12677
1926.0,81.0,4720
1926.0,112.0,3723
1926.0,77.0,2379
1926.0,70.0,2303
1926.0,89.0,2214
1926.0,68.0,1678
1926.0,88.0,1538
1926.0,115.0,1405
1926.0,103.0,1382
1926.0,95.0,1377
1926.0,85.0,1365
1926.0,58.0,1300
1926.0,110.0,1093
1926.0,117.0,1002
1926.0,90.0,956
1926.0,92.0,898
1926.0,75.0,848
1926.0,80.0,820
1926.0,70.0,724
1926.0,75.0,711
1926.0,110.0,682
1926.0,88.0,662
1926.0,150.0,638
1926.0,86.0,634
1926.0,100.0,601
1926.0,89.0,587
1926.0,86.0,586
1926.0,97.0,578
1926.0,62.0,574
1926.0,110.0,519
1926.0,83.0,493
1926.0,70.0,425
1926.0,64.0,413
1926.0,108.0,387
1926.0,77.0,382
1926.0,115.0,375
1926.0,116.0,331
1926.0,68.0,314
1926.0,101.0,308
1926.0,102.0,297
1926.0,86.0,288
1926.0,170.0,286
1926.0,80.0,280
1926.0,84.0,246
1926.0,250.0,242
1926.0,53.0,237
1926.0,82.0,237
1926.0,80.0,221
1926.0,70.0,212
1926.0,95.0,203
1926.0,66.0,199
1926.0,60.0,198
1926.0,113.0,194
1926.0,70.0,190
1926.0,76.0,186
1926.0,90.0,181
1926.0,67.0,153
1926.0,111.0,144
1926.0,80.0,143
1926.0,70.0,139
1927.0,153.0,145023
1927.0,94.0,43464
1927.0,144.0,10169
1927.0,68.0,9013
1927.0,88.0,8217
1927.0,63.0,6498
1927.0,142.0,6322
1927.0,240.0,6269
1927.0,66.0,3959
1927.0,82.0,3410
1927.0,116.0,2865
1927.0,110.0,2777
1927.0,72.0,2718
1927.0,108.0,2443
1927.0,80.0,2215
1927.0,80.0,1849
1927.0,155.0,1745
1927.0,95.0,1674
1927.0,85.0,1337
1927.0,74.0,1309
